units
46th Bn.
""
72nd Bn.
38th Bn.
102nd Bn.
15th Bn.
"""C"" Coy. 44th Bn."
58th Bn.
42nd Bn.
47th Bn.
Signal Training Depot.
2nd Bn.
1st Bn.
3rd Bn.
H.Q. Coy.
50th Bn.
85th Bn.
8th Bn.
31st Bn.
43rd Bn.
10th Bn.
14th Bn.
"S.V. ""Trebiskin."""
54th Bn.
29th Bn.
13th Bn.
24th Bn.
20th Bn.
44th Bn.
73rd Bn.
5th Bn.
87th Bn.
75th Bn.
4th Bn.
26th Bn.
Depot Bn. (Saskatchewan).
28th Bn.
188th Bn.
1st Depot Bn. (Saskatchewan).
Depot Bn. (Central Ontario).
43rd Bn
"H.M.C.S. ""Rainbow."""
65th Bn.
28th Coy.
Depot Bn. (Manitoba).
5th Bde.
"H.M. Trawler ""Lord Durham."""
128th Bn.
210th Bn.
68th Bn.
152nd Bn.
183rd Bn.
133rd Bn.
32nd Bn.
"S.S. ""Hyndford."""
194th Bn.
82nd Bn.
3rd Regt.
Training Depot
90th Bn.
7th Coy.
1st Depot Bn. (Alberta).
H.Q. Staff M.D. No. 13.
51st Bn
65th Bn
196th Bn.
5th Regt.
2nd Bty.
49th Bn.
96th Bn.
12th Bn.
138th Bn.
56th Bn.
187th Bn.
Depot Bn. (Alberta).
22nd Bn.
Military District 13
49th Bn
2nd Bn
66th Bn.
236th Bn.
218th Bn.
8th
2nd Div. Ammunition Col.
217th Bn.
195th Bn.
12th
113th Bn.
9th Bn.
12th Regt.
13th
1st Labour Bn.
"""B"" Sect., 1st Field Amb."
13th Regt.
78th Bn.
No. 2 Canadian General Hospital
2nd Signal Coy.
13th Special Service Coy. 194th Bn.
10th Field Ambulance
7th Bn.
229th Bn.
16th Bn.
21st Reserve Bn.
Depot Bn. (British Columbia).
15th Coy.
175th Bn.
"""B"" Coy. 72nd Bn."
11th Bn.
"""D"" Coy. 31st Bn."
15th (Reserve) Bn.
11th Field Amb.
21st Bn.
2nd Tunnelling Coy.
2nd Bde.
1st Canadian Reserve Park
1st
52nd Bn.
18th Bn.
16th Coy.
107th Bn.
1st Bde.
5th Coy.
19th Bn.
6th Bn.
124th Bn.
4th Labour Bn.
25th Bn.
"""A"" Coy. 27th Bn."
3rd Canadian Div. Ammunition Col.
H.Q. Signal Coy.
Yukon Bty.
3rd Div. Ammunition Col.
80th Bn.
6th Coy.
Depot
"H.M.C.S. ""Niobe."""
Depot Bn. (Nova Scotia).
40th Bn
106th Bn.
17th Bn.
36th Bn.
63rd Regt.
"""D"" Coy. 4th Bn."
1st Depot Bn. (Nova Scotia).
No.2 Construction Bn.
Composite Bn.
230th Bn.
246th Bn.
1st Regt.
193rd Bn.
64th Bn.
257th Bn.
6th Regt.
"H.Q. Staff, Military District 13."
112th Bn.
1st Depot Bn. (Quebec).
69th Regt.
7th Depot
145th Bn.
"1st Depot Bn, New Brunswick Regiment"
Depot Bn. (New Brunswick).
"T.R. ""Arleux."""
78th Bty.
1st Coy.
40th Bn.
No. 2 Construction Bn.
237th Bn.
219th Bn.
No. 1 Siege Coy.
260th Bn.
1st Depot Bn. (New Brunswick).
6th
10th Fortress Coy.
193rd Bn
Dalhousie Unit
61st Bn.
8th Bty.
185th Bn.
66th Regt.
H.M.C.S. Seagull
"H.M.C.S. ""Seagull."""
"H.M.C.S. ""Musquash."""
26th (Reserve) Bn.
"H.M.C.S. ""Canada."""
94th Regt.
Depot Coy.
105th Bn.
1st Field Amb.
62nd Bn.
"Details, 7th District Depot"
115th Bn.
33rd Bn.
55th Bn.
140th Bn.
9th Canadian T.M. Battery.
29th Bn
132nd Bn.
153rd Bn.
114th Bn
66th Bn
1st Depot Bn. (Western Ontario).
144th Bn.
4th Bde.
213th Bn.
142nd Bn.
Guard Details. 7th Regt.
91st Bn.
Depot Bn. (Western Ontario).
147th Bn.
Heavy Bty.
241st Bn.
149th Bn.
54th Bn
125th Bn.
63rd Depot Bty.
135th Bn.
93th Bn.
104th Bn.
165th Bn.
76th Bn.
130th Bn.
132nd Inf.
34th Bn.
259th Bn.
7th Regt.
"""F"" Coy, formerly 34th Bn."
70th Bty.
1st Army Troops Coy.
Depot Bn. (Eastern Ontario).
99th Bn.
70th Bn.
2nd Div. Canadian
55th Bty.
71st Bn.
63rd Bty.
2nd
1st Depot Bn.
110th Bn.
2nd Field Amb.
85th Engine Crew
3rd
28th Regt.
11th (Reserve) Bn.
69th Coy.
H.Q. Staff.
74th Bty.
240th Bn.
25th Bty.
51st Bty.
Div. Signallers
9th Bde.
224th Bn.
2nd Depot Bn. (Quebec).
39th Bn.
77th Bn.
136th Bn.
"H.M.C.S. ""Guelph."""
256th Bn.
53rd Bn.
14th Regt.
59th Bn.
254th Bn.
12th Bty.
253rd Bn.
75th Depot Bty.
93rd Bn.
238th Bn.
4th Div. Sig. Co.
No. 1 Independent Coy.
34th
Military H.Q. (Ottawa) (Director of Records).
242nd Bn.
72nd Bty.
155th Bn.
No. 2 Artillery Bde.
14th Bde.
8th Regt.
35th Bn.
Div. Signal Coy.
123rd Bn.
3rd Bde.
"""B"" Coy."
"""A"" Coy, 43rd Bn."
6th Field Coy.
2nd Coy.
10th (Reserve) Bn.
1st (Reserve) Bn.
5th
"SS. ""Kilpeno"""
"Regimental Depot, 31st Bn."
56th Coy.
214th Bn.
243rd Bn.
181st Bn.
249th Bn.
"""B"" Sqdn."
4th Canadian Div. Machine Gun Coy.
116th Bn.
199th Bn.
80th Coy.
92nd Bn.
9th Regt.
51st Bn.
11th Field Coy.
3rd Labour Bn.
12th Coy.
103rd Regt.
175th Bn
13th Bde.
137th Bn.
50th Bn
192nd Bn.
89th Bn.
103rd Bn.
3rd (Reserve) Bn.
1st Field Amb
27th Bn.
6th (Reserve) Bn.
4th Siege Bty.
4th
10th Canadian Stat. Hosp.
4th (Reserve) Bn.
10th Bde.
6th Field Amb.
1st Div. Supply Col.
"""A"" Coy. 102nd Bn."
"""D"" Coy. 26th Bn."
67th Bn.
41st Bn.
21st (Reserve) Bn.
"2nd/1st Regimental Depot, (Central Ontario)."
208th Bn.
"No. 6 District Depot, (Nova Scotia)."
63rd Bn.
"H.M.C.S. "" Musquash."""
"H.M.C.S. "" Niobe."""
232nd Bn.
3rd Div. Train
60th Bn.
"H.M.C.S. ""Niobe"""
13th Bn
"H.M.C.S. ""Niobe"" (""Speedy"")"
Siberia Draft
"H.M.C.S. ""Lansdowne."""
36th Bty. 9th Bde.
26th Reserve Bn.
97th Bn.
10th Siege Bty.
P.E.I. Heavy Bty.
184th Bn.
2nd Tunnelling Coy. 
62nd Regt.
"""C"" Bty."
160th Bn.
186th Bn.
2nd Field Coy.
2nd/2nd Depot Bn. (Quebec).
7th District Depot
246th Bn
118th Bn.
162nd Bn.
"""F"" Unit, formerly 142nd Bn."
"""F"" Unit"
No. 10 Stat. Hosp.
16th Field Amb.
52nd Bn
15th Bn
168th Bn.
159th Bn.
118 Coy.
207th Bn.
2nd Depot Bn. (Eastern Ontario).
1st Depot Bn. (Eastern Ontario).
3rd Field Amb.
Railway Service Guards
3rd Stat. Hosp.
222nd Bn.
98th Bn.
